OBJECTID,GEOID10,Sum_ViolentCrime,Sum_PropertyCrime,Shape__Area,Shape__Length
1276,261635457001016,0,3,243743.362060547,2143.03746204681
1277,261635457002011,0,2,234578.029052734,2116.34424335465
1278,261635373004005,0,3,356285.026367188,3260.09868498785
1279,261635373003005,0,1,278336.954345703,2641.18845937759
1280,261635452002009,1,2,292143.876953125,2442.44859187304
1281,261635451001003,0,3,267041.522949219,2315.34441511011
1282,261635382001024,0,0,186447.504394531,1740.64462812428
1283,261635382001020,0,0,175885.780761719,2029.51249263108
1284,261635385001002,2,0,198808.70703125,1907.70326957195
1285,261635385001001,4,3,482614.588378906,3615.01364931897
1286,261635385002005,0,2,203317.538574219,1930.21367547456
1287,261635384001008,0,4,207367.272949219,1855.70456107775
1288,261635384002007,2,4,283799.213378906,2242.48942952183
1289,261635384003006,0,4,247220.851074219,2067.46827553166
1290,261635384002004,1,2,208196.322265625,1881.716049461
1291,261635384003010,0,4,227455.881835938,1962.1631162249
1292,261635384002000,0,1,484821.667480469,5674.88239622812
1293,261635384003000,0,0,115766.216308594,1639.99099578165
1294,261635353005008,0,1,225397.426513672,1999.84570881973
1295,261635353005031,2,5,234156.668212891,2175.83495120895
1296,261635353005027,0,0,263859.830810547,2255.47508591113
1297,261635353002004,3,2,251470.195556641,2305.46514235649
1298,261635373003001,0,1,299100.666992188,2717.11142251195
1299,261635372001019,1,1,191093.104736328,1898.8470659082
1300,261635352004021,1,11,352191.49609375,2612.45508709855
1301,261635352004001,0,0,114067.082275391,2782.90443751192
1302,261635352003005,2,2,339324.186523438,2929.73605953767
1303,261635409001008,1,5,199662.131835938,1866.65852398703
1304,261635242004002,1,0,176132.8984375,1894.62447201969
1305,261635241002004,0,3,329140.344238281,3100.28285035013
1306,261635241003009,4,7,207170.993408203,2100.6597004332
1307,261635241004003,1,3,230047.159667969,2147.96717536463
1308,261635255002013,2,0,322235.073486328,2682.73317148324
1309,261635256001008,0,1,209389.478027344,1956.38523400244
1310,261635054003012,0,2,204084.888183594,1934.86751476238
1311,261635039002002,2,3,142309.858398438,1538.2968573646
1312,261635231001053,0,0,238228.387207031,2080.41578578502
1313,261635240001006,0,0,531430.509033203,3173.10295852343
1314,261635254003021,2,1,106166.338378906,1318.15916500304
1315,261635255001006,0,3,183613.063232422,1811.64019659189
1316,261635003002000,0,3,215602.063964844,1970.88932741038
1317,261635003002004,1,7,215166.48828125,1969.31153555663
1318,261635003002005,2,6,215323.671875,1969.5336697304
1319,261635006001008,0,3,200333.727539063,1981.57844742707
1320,261635006004013,0,1,94698.73828125,1265.98625929954
1321,261635006002002,0,1,184768.690917969,1881.02692541846
1322,261635073003023,0,0,83144.0869140625,1159.28483183032
1323,261635073001012,4,3,369696.002441406,2892.52446770975
1324,261635074001004,0,3,299161.993652344,2472.31041533099
1325,261635073001008,0,1,126442.687011719,1919.69117419321
1326,261635071002007,1,4,232095.975585938,2180.52941349693
1327,261635069005004,2,1,273722.119628906,2315.83946523921
1328,261635071001004,2,2,238905.180175781,2197.53075300656
1329,261635153001007,1,17,282192.901123047,2210.14918014053
1330,261635154002011,0,9,312881.7265625,2299.06148571796
1331,261635153001010,1,8,227793.645019531,1978.53730331592
1332,261635164001006,2,2,265060.52734375,2163.75440360857
1333,261635157001005,0,1,10098.3110351563,402.390545136825
1334,261635153001014,1,5,318362.106201172,2352.89830832436
1335,261635172002051,3,0,163734.892333984,1781.76695949164
1336,261635172001023,0,1,30419.9753417969,782.693950292489
1337,261635172001040,7,18,120289.869873047,1383.24376023095
1338,261635172001049,0,6,109463.000488281,1324.59905796595
1339,261635172001044,3,18,121721.677246094,1420.54423681967
1340,261635172001064,0,1,15505.6254882813,655.289373132775
1341,261635172001026,0,0,6921.17333984375,347.108273017679
1342,261635172001027,0,3,118459.624755859,1694.81387751923
1343,261635172001007,0,1,143071.681884766,1724.78030667329
1344,261635171001013,0,5,108853.541015625,1325.19389225455
1345,261635171001012,0,2,538322.256591797,4270.10680826418
1346,261635221001002,0,1,244401.3125,2107.25535429959
1347,261635408002005,0,4,185609.681640625,1794.10263850468
1348,261635341003018,0,0,124824.547607422,3416.58990415833
1349,261635366003004,0,2,88054.689453125,1192.60793528777
1350,261635153003008,2,2,196546.127197266,1951.18607375225
1351,261635154001009,0,3,430415.858886719,2829.07919644777
1352,261635154001008,0,1,349352.343017578,2666.94958498877
1353,261635154002003,0,8,320893.836425781,2340.7700014826
1354,261635165001041,1,19,304561.7734375,2705.10187613616
1355,261635344002016,1,0,101682.373535156,1618.87099871088
1356,261635356002009,0,0,283304.956298828,2359.19032735257
1357,261635356002014,0,1,20032.0979003906,687.168255394166
1358,261635356002012,1,0,14354.3930664063,577.202428105823
1359,261635344002018,0,0,243921.362304688,2361.34527635626
1360,261635356003009,0,2,168783.447509766,1729.67338966754
1361,261635356004020,0,0,229751.716796875,2051.59491094461
1362,261635357001009,1,1,309443.038818359,2592.31167251708
1363,261635356004022,0,0,226991.255126953,2125.26093555826
1364,261635356003015,0,2,138668.511962891,1544.74172476397
1365,261635353005018,0,2,163895.996337891,1700.89524180155
1366,261635353003001,0,1,253344.240966797,2310.18348657937
1367,261635350003010,2,1,266253.375732422,2297.5409556676
1368,261635350003008,2,1,276891.021728516,2323.38300726619
1369,261635356002001,0,3,291929.914306641,2405.53484852604
1370,261635356002016,1,2,291592.926025391,2416.78370966972
1371,261635356002000,3,7,238503.012451172,2185.11928738747
1372,261635357002007,1,3,331961.264648438,2694.20130305701
1373,261635357001010,0,0,43404.2927246094,1241.22709900479
1374,261635356003013,1,2,145994.820556641,1697.06989619231
1375,261635356003014,1,0,148875.766357422,1588.65876313545
1376,261635347004015,0,1,92734.669921875,1382.00807166153
1377,261635347004020,0,1,215371.057861328,2081.69906959394
1378,261635353005021,3,1,233596.419677734,2177.40517944165
1379,261635353003004,0,0,252888.097167969,2308.81449501983
1380,261635382002024,0,1,254539.90625,2236.23916077753
1381,261635114001004,0,0,94769.3154296875,2290.11737600306
1382,261635069003003,0,6,241233.795898438,2282.1102892825
1383,261635069003004,2,2,234981.630859375,2267.3652064504
1384,261635069003005,1,3,228100.053710938,2250.73732030457
1385,261635070003001,1,0,90685.3627929688,1212.83143299405
1386,261635070003007,0,0,115667.074707031,1399.46774549295
1387,261635070003017,1,2,118006.365234375,1414.22403487542
1388,261635070003000,0,0,91058.2543945313,1214.75581817907
1389,261635069003006,2,2,250803.099609375,2421.21081298534
1390,261635070003011,1,2,143843.399414063,1533.48536511757
1391,261635069002003,0,1,235710.172363281,2268.19222257273
1392,261635069001000,2,2,227508.221679688,2206.29014452598
