X,Y,OBJECTID,PARCEL_ID,addcombo,PROP_CITY_NM,PROP_STATE,PROP_ZIP_CD,FINAL_BID_AMT
13426023.358923882246017,316445.439632549881935,5339,22108340.,9300 TRINITY,DETROIT,MI,48228,
13426056.441929131746292,315854.171916007995605,5340,22108329.,9208 TRINITY,DETROIT,MI,48228,
13426144.374015748500824,313469.901902884244919,5341,22108287.,8456 TRINITY,DETROIT,MI,48228,
13426146.380905508995056,313429.947834640741348,5342,22108286.,8450 TRINITY,DETROIT,MI,48228,
13426148.190288707613945,313390.033136487007141,5343,22108285.,8444 TRINITY,DETROIT,MI,48228,
13426194.49507874250412,312402.938320204615593,5344,22108263.,8102 TRINITY,DETROIT,MI,48228,
13423789.987204730510712,309105.174212604761124,5345,22114592.,7259 ROCKDALE,DETROIT,MI,48239,
13424738.635498687624931,340164.880249351263046,5346,22108657.,19001 TRINITY,DETROIT,MI,48219,
13422356.299212604761124,326118.686023622751236,5347,22115527.,14184 DACOSTA,DETROIT,MI,48223,
13422358.899934381246567,326050.739501312375069,5348,22115525.,14168 DACOSTA,DETROIT,MI,48223,
13426180.346456691622734,316265.691929131746292,5349,22108155.,9265 BURT RD,DETROIT,MI,48228,
13426181.830052495002747,316230.679133862257004,5350,22108156.,9259 BURT RD,DETROIT,MI,48228,
13422644.20767717063427,310859.583005249500275,5351,22116598.,7677 LAMPHERE,DETROIT,MI,48239,17300
13423740.547900259494781,328661.265419945120811,5352,22112379.,14863 BURGESS,DETROIT,MI,48223,
13425690.672244101762772,325898.909776896238327,5353,22108403.,14116 TRINITY,DETROIT,MI,48223,
13425691.999671921133995,325864.900590553879738,5354,22108402.,14110 TRINITY,DETROIT,MI,48223,
13423788.426837265491486,337564.071850389242172,5355,22014596.,21436 THATCHER,DETROIT,MI,48219,
13422542.721128612756729,325046.438320204615593,5356,22115110.,13941 DOLPHIN,DETROIT,MI,48223,
13422036.538385823369026,325794.75918635725975,5357,22116154.,14120 LAMPHERE,DETROIT,MI,48223,
13425557.329068243503571,331976.265419945120811,5358,22107913.,15761 BURT RD,DETROIT,MI,48223,
13423316.392388448119164,328400.579068243503571,5359,22124820.,11685 W OUTER DRIVE,DETROIT,MI,48223,
13423120.029199481010437,332317.4498031437397,5360,22113304.,15848 LAHSER,DETROIT,MI,48219,
13423121.945538058876991,332275.472112864255905,5361,22113303.,15840 LAHSER,DETROIT,MI,48219,
13423123.760826766490936,332233.518044620752335,5362,22113302.,15834 LAHSER,DETROIT,MI,48219,
13423319.750656172633171,328189.257874011993408,5363,22124815.,11721 W OUTER DRIVE,DETROIT,MI,48223,
13422928.4498031437397,338436.056102365255356,5364,22112888.002L,18305 GREYDALE,DETROIT,MI,48219,
13420955.859580054879189,330739.607939630746841,5365,22117828-9,15401 BRAMELL,DETROIT,MI,48223,
13422636.393700793385506,331061.475065618753433,5366,22114367.,15465 ROCKDALE,DETROIT,MI,48223,
13422954.186679795384407,331341.656824141740799,5367,22113805.,15515 LAHSER,DETROIT,MI,48223,
13417869.449475064873695,339933.072178483009338,5368,22121947.,18961 RIVERVIEW,DETROIT,MI,48219,
13424637.995406821370125,332237.777230978012085,5369,22110149.,15819 WESTBROOK,DETROIT,MI,48219,
13425542.369094491004944,332310.623031497001648,5370,22107906.,15829 BURT RD,DETROIT,MI,48219,
13424680.253280833363533,326306.020669296383858,5371,22110471.,14206 BENTLER,DETROIT,MI,48223,
13425241.340223103761673,325315.446522310376167,5372,22109489.,13975 BLACKSTONE,DETROIT,MI,48223,
13422641.730643048882484,327230.919947504997253,5373,22114746-7,14434 DOLPHIN,DETROIT,MI,48223,
13422705.623031497001648,325461.141732290387154,5374,22114698.,14020 DOLPHIN,DETROIT,MI,48223,
13425700.18077427148819,328886.976049870252609,5375,22107974.,14891 BURT RD,DETROIT,MI,48223,
13425303.522309705615044,328206.47244094312191,5376,22109083.,14628 BLACKSTONE,DETROIT,MI,48223,
13425542.54232282936573,329519.741797894239426,5377,22108465.,15050 TRINITY,DETROIT,MI,48223,
13424429.497703418135643,332551.926181107759476,5378,22110606.,15880 BENTLER,DETROIT,MI,48219,
13425320.070866137742996,330902.356955379247665,5379,22108806.,15411 TRINITY,DETROIT,MI,48223,
13424714.919619426131248,330582.308398947119713,5380,22110186.,15355 WESTBROOK,DETROIT,MI,48223,
13425321.931102365255356,330866.454068243503571,5381,22108807.,15401 TRINITY,DETROIT,MI,48223,
13424058.629593178629875,332840.562992125749588,5382,22111357.,16114 CHAPEL,DETROIT,MI,48219,
13423199.556102365255356,330516.097112864255905,5383,22113255.,15354 LAHSER,DETROIT,MI,48223,
13423766.037729665637016,328039.05085301399231,5384,22112396.,14607 BURGESS,DETROIT,MI,48223,
13425513.69422572851181,333108.486220479011536,5385,22107889.,16157 BURT RD,DETROIT,MI,48219,
13425432.991797894239426,334305.832020998001099,5386,22107870.002L,16711 BURT RD,DETROIT,MI,48219,
13423292.020341202616692,331688.895013123750687,5387,22112947-8,15737 GREYDALE,DETROIT,MI,48223,
13424895.530839890241623,330892.916010499000549,5388,22109751.,15412 WESTBROOK,DETROIT,MI,48223,
13423226.285761147737503,329885.522309705615044,5389,22113245-6,15152 LAHSER,DETROIT,MI,48223,
13424913.239829391241074,330571.696850389242172,5390,22109744-5,15352 WESTBROOK,DETROIT,MI,48223,
