OBJECTID,GEOID10,GlobalID,OCC_RES,OCC_BUS,VAC_RES,VAC_BUS,TotalAddresses,TotalOCC,TotalVAC,TotRES,TotBUS,PctVAC,Shape__Area,Shape__Length
1144,261635009003003,d8107926-ec3a-497b-8b64-b78fdb15a07c,26,1,30,1,58,27,31,56,2,0.53448275862069,291459.237792969,2462.1636461857
1145,261635010001005,5d9243d3-42fd-4cbe-8178-de94da87017f,36,,1,,37,36,1,37,0,0.027027027027027,241033.38671875,2167.77117637969
1146,261635010001008,e9bd41ea-abb8-4f69-90a8-afafb9567ad9,27,3,3,,33,30,3,30,3,0.0909090909090909,240692.265136719,2148.82785185927
1147,261635007002010,f9ba9c5a-b40d-4399-b631-de2f62a96609,19,1,5,,25,20,5,24,1,0.2,237412.112792969,2131.23359136203
1148,261635007002007,5cfb9d82-a8b3-4e67-8831-e5e226c9f21c,19,1,1,2,23,20,3,20,3,0.130434782608696,230888.578613281,2102.44104239167
1149,261635010001000,dc5b3ba8-8621-4a75-91fd-7dd781a73ca4,23,,3,,26,23,3,26,0,0.115384615384615,214296.264648438,2016.96245431824
1150,261635009002009,0a61d07e-fa11-4906-94c3-3c53669cd9a8,40,,5,,45,40,5,45,0,0.111111111111111,308910.821289063,2486.73752506027
1151,261635010002003,6cebbf8c-be0d-4c04-9532-953f84784f7e,22,,8,,30,22,8,30,0,0.266666666666667,240108.831542969,2059.12729883614
1152,261635011004002,b35d3f98-4de2-4047-a371-e60d7d0c83cb,6,2,1,,9,8,1,7,2,0.111111111111111,120887.080566406,1434.61564449733
1153,261635011004000,0db566af-d11c-4b97-a164-20877e58eaf9,22,,11,,33,22,11,33,0,0.333333333333333,233964.885253906,2125.22499061641
1154,261635011004003,c347cffb-d4ef-4d6c-939f-e696c1f57776,27,,4,,31,27,4,31,0,0.129032258064516,241689.646484375,2151.6576434157
1155,261635041003015,10e039d2-1575-4779-a772-cd5a2261b26b,11,1,7,1,20,12,8,18,2,0.4,218918.290527344,1940.66814389757
1156,261635041003016,f84d9bf8-c3db-4242-9d4c-4b80d80ab3a2,6,1,7,1,15,7,8,13,2,0.533333333333333,145644.505371094,1617.13339332822
1157,261635041003018,edbd6437-2c42-4d37-a76a-4573c8a86299,,1,,,1,1,0,0,1,,63520.3872070313,1059.59932457289
1158,261635011003005,31cd7b51-2fe3-416a-ba23-87b7195ad98f,19,,25,,44,19,25,44,0,0.568181818181818,261141.36328125,2406.92359930687
